Players,Custom,fideID
"Plotkin, Victor",https://players.chessbase.com/en/player/Plotkin_%20Victor,2606674
"Nyzhnyk, Illya",https://players.chessbase.com/en/player/Nyzhnyk_%20Illya,14118084
"Peredun, Andrew",https://players.chessbase.com/en/player/Peredun_%20Andrew,2603322
"Husbands, Orlando",https://players.chessbase.com/en/player/Husbands_%20Orlando,11101644
"Li, Ben",https://players.chessbase.com/en/player/Li_%20Ben,2089980
"Bryant, John Daniel",https://players.chessbase.com/en/player/Bryant_%20John%20Daniel,2031280
"Liang, Jason",https://players.chessbase.com/en/player/Liang_%20Jason,30940303
"Banerjee, Abhimanyu",https://players.chessbase.com/en/player/Banerjee_%20Abhimanyu,2076047
"Zhou, Aiden",https://players.chessbase.com/en/player/Zhou_%20Aiden,2618826
"Boekhoff, Andrew",https://players.chessbase.com/en/player/Boekhoff_%20Andrew,2024292
"Mujumdar, Sameer Suhas",https://players.chessbase.com/en/player/Mujumdar_%20Sameer%20Suhas,2029707
"Kretchetov, Alexandre",https://players.chessbase.com/en/player/Kretchetov_%20Alexandre,4124588
"Narayanan, Samrug",https://players.chessbase.com/en/player/Narayanan_%20Samrug,30914051
"Jacobson, Brandon",https://players.chessbase.com/en/player/Jacobson_%20Brandon,30901561
"Hilby, Craig",https://players.chessbase.com/en/player/Hilby_%20Craig,2062674
"Liang, Awonder",https://players.chessbase.com/en/player/Liang_%20Awonder,2056437
"Sheng, Joshua",https://players.chessbase.com/en/player/Sheng_%20Joshua,2057360
"Vaidya, Atulya",https://players.chessbase.com/en/player/Vaidya_%20Atulya,2047713
"Checa, Nicolas D",https://players.chessbase.com/en/player/Checa_%20Nicolas%20D,2069342
"Green, Austen",https://players.chessbase.com/en/player/Green_%20Austen,2017865
"Melkumyan, Hrant",https://players.chessbase.com/en/player/Melkumyan_%20Hrant,13302485
"Guo, Arthur",https://players.chessbase.com/en/player/Guo_%20Arthur,30903114
"Quesada Perez, Yasser",https://players.chessbase.com/en/player/Quesada%20Perez_%20Yasser,3509362
"Macieja, Bartlomiej",https://players.chessbase.com/en/player/Macieja_%20Bartlomiej,1104306
"Karthik, Sai Ch",https://players.chessbase.com/en/player/Karthik_%20Sai%20Ch,46649484
"Raahul, VS.",https://players.chessbase.com/en/player/Raahul_%20VS.,25035525
"Stork, Oliver",https://players.chessbase.com/en/player/Stork_%20Oliver,12955728
"Raja, Rithvik R",https://players.chessbase.com/en/player/Raja_%20Rithvik%20R,35007394
"Pogosyan, Stefan",https://players.chessbase.com/en/player/Pogosyan_%20Stefan,34159867
"Turgut, Aydin",https://players.chessbase.com/en/player/Turgut_%20Aydin,2078791
"Makarian, Rudik",https://players.chessbase.com/en/player/Makarian_%20Rudik,44105681
"Soto, Miguel Angel",https://players.chessbase.com/en/player/Soto_%20Miguel%20Angel,4427467
"Aronyak, Ghosh",https://players.chessbase.com/en/player/Aronyak_%20Ghosh,25072846
"Daghli, Arash",https://players.chessbase.com/en/player/Daghli_%20Arash,12572381
"Cardoso Cardoso, Jose Gabriel",https://players.chessbase.com/en/player/Cardoso%20Cardoso_%20Jose%20Gabriel,4430492
"Khamrakulov, Djurabek",https://players.chessbase.com/en/player/Khamrakulov_%20Djurabek,14201143
"Yudasin, Leonid",https://players.chessbase.com/en/player/Yudasin_%20Leonid,2802341
"Barbosa, Oliver",https://players.chessbase.com/en/player/Barbosa_%20Oliver,5201640
"Panjwani, Raja",https://players.chessbase.com/en/player/Panjwani_%20Raja,2604493
"Korley, Kassa",https://players.chessbase.com/en/player/Korley_%20Kassa,2033801
"Krush, Irina",https://players.chessbase.com/en/player/Krush_%20Irina,2012782
"Steingrimsson, Hedinn",https://players.chessbase.com/en/player/Steingrimsson_%20Hedinn,2300117
"Sturt, Raven M",https://players.chessbase.com/en/player/Sturt_%20Raven%20M,2007304
"Paragua, Mark",https://players.chessbase.com/en/player/Paragua_%20Mark,5201241
"Krishnakumar, Sriram",https://players.chessbase.com/en/player/Krishnakumar_%20Sriram,30915856
"Vijay, Keerthi K",https://players.chessbase.com/en/player/Vijay_%20Keerthi%20K,5014450
"Chen, Alex",https://players.chessbase.com/en/player/Chen_%20Alex,30929652
"Arias, Mario",https://players.chessbase.com/en/player/Arias_%20Mario,3800660
"Lehmann, Spencer G",https://players.chessbase.com/en/player/Lehmann_%20Spencer%20G,2069261
"Zhao, Ian",https://players.chessbase.com/en/player/Zhao_%20Ian,2620740
"Aoshima, Mirai",https://players.chessbase.com/en/player/Aoshima_%20Mirai,7002386
"Liu, Bovey",https://players.chessbase.com/en/player/Liu_%20Bovey,2061112
"Peng, Shunkai",https://players.chessbase.com/en/player/Peng_%20Shunkai,8614601
"Wang, Kevin A",https://players.chessbase.com/en/player/Wang_%20Kevin%20A,2008424
"Perunovic, Milos",https://players.chessbase.com/en/player/Perunovic_%20Milos,921629
"Kaliksteyn, Alexander",https://players.chessbase.com/en/player/Kaliksteyn_%20Alexander,2007630
"Yoo, Christopher Woojin",https://players.chessbase.com/en/player/Yoo_%20Christopher%20Woojin,30909694
"Colas, Joshua",https://players.chessbase.com/en/player/Colas_%20Joshua,2044447
"Daggupati, Balaji",https://players.chessbase.com/en/player/Daggupati_%20Balaji,2090759
"Stremavicius, Titas",https://players.chessbase.com/en/player/Stremavicius_%20Titas,12804444
"Ostrovskiy, Aleksandr A",https://players.chessbase.com/en/player/Ostrovskiy_%20Aleksandr%20A,2034239
"Mista, Aleksander",https://players.chessbase.com/en/player/Mista_%20Aleksander,1110381
"Mishra, Abhimanyu",https://players.chessbase.com/en/player/Mishra_%20Abhimanyu,30920019
"Dragun, Kamil",https://players.chessbase.com/en/player/Dragun_%20Kamil,1134167
"Chen, Ryo",https://players.chessbase.com/en/player/Chen_%20Ryo,7003072
"Proleiko, Julian",https://players.chessbase.com/en/player/Proleiko_%20Julian,30900255
"Lu, Ming",https://players.chessbase.com/en/player/Lu_%20Ming,30930880
"Antova, Gabriela",https://players.chessbase.com/en/player/Antova_%20Gabriela,2915235
"Tsay, Vincent",https://players.chessbase.com/en/player/Tsay_%20Vincent,30931835
"Posthuma, Joshua G",https://players.chessbase.com/en/player/Posthuma_%20Joshua%20G,2096889
"Kanov, Nikola",https://players.chessbase.com/en/player/Kanov_%20Nikola,2928531
"Dalaud, Dorian",https://players.chessbase.com/en/player/Dalaud_%20Dorian,36093270
"Santos Ruiz, Miguel",https://players.chessbase.com/en/player/Santos%20Ruiz_%20Miguel,22291482
"Souhardo, Basak",https://players.chessbase.com/en/player/Souhardo_%20Basak,35092910
"Carbonell Sancho, Marc",https://players.chessbase.com/en/player/Carbonell%20Sancho_%20Marc,32029969
"Cornette, Matthieu",https://players.chessbase.com/en/player/Cornette_%20Matthieu,620084
"Moussard, Jules",https://players.chessbase.com/en/player/Moussard_%20Jules,642908
"Cheparinov, Ivan",https://players.chessbase.com/en/player/Cheparinov_%20Ivan,2905540
"Maze, Sebastien",https://players.chessbase.com/en/player/Maze_%20Sebastien,613762
"Fier, Alexandr",https://players.chessbase.com/en/player/Fier_%20Alexandr,2107139
"Persico, Lorenzo",https://players.chessbase.com/en/player/Persico_%20Lorenzo,899240
"Mitran, Anthony Cristian",https://players.chessbase.com/en/player/Mitran_%20Anthony%20Cristian,240052
"Bernadskiy, Vitaliy",https://players.chessbase.com/en/player/Bernadskiy_%20Vitaliy,14100371
"Dardha, Daniel",https://players.chessbase.com/en/player/Dardha_%20Daniel,240990
"Samoun, Florent",https://players.chessbase.com/en/player/Samoun_%20Florent,664995
"Orfini, Nicolo",https://players.chessbase.com/en/player/Orfini_%20Nicolo,2805028
"Loiacono, Antonio",https://players.chessbase.com/en/player/Loiacono_%20Antonio,895415
"Basso, Pier Luigi",https://players.chessbase.com/en/player/Basso_%20Pier%20Luigi,866970
"Moroni, Luca Jr",https://players.chessbase.com/en/player/Moroni_%20Luca%20Jr,865834
"Krivenko, Dion",https://players.chessbase.com/en/player/Krivenko_%20Dion,4508378
"Dobrikov, Marco",https://players.chessbase.com/en/player/Dobrikov_%20Marco,12950378
"Bellahcene, Bilel",https://players.chessbase.com/en/player/Bellahcene_%20Bilel,696358
"Bjerre, Jonas Buhl",https://players.chessbase.com/en/player/Bjerre_%20Jonas%20Buhl,1444948
"Warmerdam, Max",https://players.chessbase.com/en/player/Warmerdam_%20Max,1048104
